PlantGroup,Specie,TTO,PCoA1,PCoA2,PCoA3,PCoA4,Pot,RII_hl_AMF,RII_hl_nonAMF,RII_hl_total_hyphae,WSA%,WSA%_RII,Shoot_RII,LDMC_RII,SLA_RII,LeafN_RII,LeafCN_RII,RootsCN_RII,SoilCN_RII,pH_RII,EC_RII,NO3_RII,PO4_RII,RootN_RII,SoilN_RII,SoilC_RII,RootC_RII,leafC_RII,FLORES_RII,Rootmass_RII,R:S_RII,diameter_RII,LogDiam_RII,RTD_RII,logRTD_RII,SRL_RII,logSRL_RII,SRSA_RII,logSRSA_RII,RII_Hamf,sqrtRootmass_RII
Herbs,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,18,-0.16,-0.25,-0.18,26.86,-0.16,-0.26,-0.1,0.07,0.07,-0.01,0.08,-0.05,0,-0.24,-0.27,0.01,-0.01,0.01,-0.04,0.09,0.08,-1,-0.13,0.1,-0.15,-0.01,-0.18,-0.03,0.24,0.11,0.24,0.03,,-0.06
Herbs,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,19,-0.53,-0.21,-0.45,19.67,-0.31,-0.12,0.11,-0.16,-0.26,0.18,-0.01,0.03,0.01,-0.25,-0.48,-0.17,0.05,-0.14,-0.11,0.05,-0.06,-1,0,0.1,-0.11,-0.01,0.16,0.03,-0.2,-0.03,-0.15,-0.01,,0
Herbs,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,20,-0.95,-0.79,-0.89,20.39,-0.29,-0.02,0.14,-0.23,0.01,0.01,0.52,-0.04,0,-0.08,-0.25,-0.17,-0.5,0.31,0.28,0.04,0.04,-1,-0.12,-0.13,-0.13,-0.01,0.02,0,-0.02,0.03,0.01,0,,-0.06
Herbs,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,26,-0.45,-0.4,-0.44,17.38,-0.47,-0.53,0.06,-0.09,-0.11,0.11,0.06,-0.02,-0.01,-0.19,-0.72,0.1,0.01,0.18,0.15,0.07,0.01,-1,0.07,0.54,0.01,0,-0.17,-0.02,0.03,0.03,0.05,0.01,0.32,0.04
Herbs,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,27,-0.67,-0.85,-0.72,7.88,-0.72,-0.51,-0.01,0.02,-0.19,0.07,0,0.04,0.02,-0.17,-0.23,0.2,0.02,-0.21,-0.18,0.03,-0.11,-1,0.05,0.5,0.04,0,-0.11,-0.01,-0.14,-0.02,-0.06,-0.01,,0.03
Herbs,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,28,-0.54,-0.27,-0.43,19.05,-0.43,-0.16,0.09,-0.13,-0.1,0.06,0.02,-0.01,-0.02,-0.26,-0.67,-0.1,0.05,-0.18,-0.2,0.07,-0.02,-1,0.05,0.15,0.09,0,-0.09,0,-0.23,-0.05,-0.12,-0.02,,0.03
Herbs,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,29,0.34,-0.31,0.21,27.91,-0.26,-0.37,0.1,-0.08,-0.12,0.12,-0.01,0.02,0,-0.07,-0.4,-0.1,0.06,-0.24,-0.23,0.06,0.01,-1,0.07,0.38,0.12,0.01,-0.17,-0.02,-0.22,-0.04,-0.07,-0.01,-1,0.04
Herbs,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,30,-0.33,0.04,-0.15,48.5,0.01,-0.39,0.05,-0.11,0.03,-0.01,-0.3,0.02,0.01,-0.2,-0.31,0.15,0.21,-0.16,-0.15,-0.09,0.03,-1,0.1,0.42,0.12,0.01,-0.2,-0.03,-0.17,-0.03,-0.03,0,0.29,0.06
Herbs,H_Galiu,Drought,84.5113187,44.16246317,3.325779029,-9.119017629,166,0.22,0.39,0.27,11.2,-0.42,-0.3,-0.03,-0.14,-0.18,0.19,0.1,-0.03,0,-0.22,,-0.08,-0.01,-0.09,-0.12,0.11,0.02,-1,-0.46,-0.04,0.24,0.02,0.13,0.02,-0.58,-0.18,-0.38,-0.03,,-0.17
Herbs,H_Galiu,Drought,84.5113187,44.16246317,3.325779029,-9.119017629,167,-0.26,-0.03,-0.2,32.29,0.09,-0.14,0.17,-0.31,-1,,0.19,-0.12,0.01,-0.13,,-0.02,-0.05,0.08,-0.04,0.15,,-1,-0.11,0.18,-0.06,-0.01,-0.04,-0.01,0.1,0.04,0.07,0.01,,0.02
Herbs,H_Galiu,Drought,84.5113187,44.16246317,3.325779029,-9.119017629,168,-0.3,-0.33,-0.31,25.58,-0.03,-0.39,0.05,-0.08,-0.23,0.25,0.07,-0.04,0.01,-0.06,-0.86,0.23,0,-0.08,-0.12,0.09,0.04,-1,-0.35,0.19,0.02,0,0.1,0.02,-0.19,-0.05,-0.14,-0.02,,-0.1
Herbs,H_Galiu,Drought,84.5113187,44.16246317,3.325779029,-9.119017629,169,-0.07,-0.09,-0.08,24.05,-0.06,-0.11,0.01,-0.15,-0.03,0.05,0.02,0,0,-0.12,,0.31,0.11,0,0,0.15,0.04,-1,-0.57,-0.38,0.2,0.02,0.23,0.04,-0.6,-0.18,-0.44,-0.04,-1,-0.24
Herbs,H_Galiu,Drought,84.5113187,44.16246317,3.325779029,-9.119017629,170,0.53,0.37,0.47,28.03,0.02,-0.12,0.15,-0.18,-0.24,0.18,0.12,-0.07,0,-0.14,-0.86,-0.15,-0.04,0.08,0.01,0.1,-0.05,-1,-0.04,0.23,-0.04,0,-0.07,-0.01,0.07,0.03,0.07,0.01,-1,0.06
Herbs,H_Hieraciu,Drought,95.68602831,95.66174217,75.41017096,14.00810448,86,-0.07,0.09,-0.03,39.47,0.01,-0.24,0.37,-0.34,-0.3,0.23,0.26,0.04,0.01,0.01,-0.47,0.26,-0.17,0.02,0.06,0.1,-0.06,-1,0.43,0.61,0.05,0.01,-0.16,-0.03,0.02,0.01,0.09,0.01,1,0.25
Herbs,H_Hieraciu,Drought,95.68602831,95.66174217,75.41017096,14.00810448,87,-0.05,0.67,0.18,23.68,-0.24,-0.09,0.17,-0.05,-0.36,0.26,0.37,-0.03,0,-0.27,-0.61,0.23,-0.33,0.07,0.04,0.05,-0.1,-1,0.35,0.43,0,0,-0.21,-0.04,0.17,0.05,0.18,0.03,,0.21
Herbs,H_Hieraciu,Drought,95.68602831,95.66174217,75.41017096,14.00810448,88,-0.13,1,-0.04,31.23,-0.11,-0.14,0.31,-0.11,-0.16,0.15,0.24,0.04,0.01,-0.07,-0.43,-0.06,-0.18,-0.06,-0.02,0.07,0,-1,0.05,0.19,-0.03,0,-0.24,-0.04,0.29,0.09,0.27,0.04,,0.05
Herbs,H_Hieraciu,Drought,95.68602831,95.66174217,75.41017096,14.00810448,89,-0.77,-0.43,-0.74,14.84,-0.45,-0.09,0.11,-0.34,-0.25,0.19,0.33,0,0.01,-0.24,-0.61,0.11,-0.3,0.04,0.03,0.05,-0.06,-1,0.02,0.11,0,0,-0.21,-0.04,0.18,0.06,0.19,0.03,,0.04
Herbs,H_Hieraciu,Drought,95.68602831,95.66174217,75.41017096,14.00810448,90,-0.26,0.57,0.01,63.27,0.24,-0.17,0.24,-0.18,-0.36,0.2,,-0.01,0.01,-0.12,-0.61,-0.06,,0.01,0,,-0.16,-1,-0.19,-0.01,-0.03,0,-0.17,-0.03,0.22,0.07,0.2,0.03,,-0.07
Herbs,H_Hypericu,Drought,78.76518446,-54.28315215,1.594750959,-13.70980177,146,0.25,0.35,0.28,43.4,0.05,-0.3,0.15,-0.18,-0.22,0.12,-0.03,-0.05,0.01,-0.2,-0.85,-0.37,0.06,-0.03,-0.08,0.08,-0.08,#DIV/0!,0.07,0.34,-0.08,-0.01,0.01,0,0.11,0.04,0.05,0.01,,0.06
Herbs,H_Hypericu,Drought,78.76518446,-54.28315215,1.594750959,-13.70980177,147,-0.56,-0.37,-0.52,38.15,-0.01,-0.29,0.18,-0.34,-0.26,0.22,0,-0.07,0.01,-0.25,-0.88,-0.32,0.04,-0.06,-0.13,0.09,-0.02,#DIV/0!,0.15,0.39,0.07,0.01,0.17,0.03,-0.35,-0.1,-0.27,-0.02,,0.09
Herbs,H_Hypericu,Drought,78.76518446,-54.28315215,1.594750959,-13.70980177,148,-0.65,-0.31,-0.59,16.5,-0.41,-0.3,0.16,-0.28,-0.16,0.15,-0.03,-0.04,-0.02,-0.2,-0.91,-0.49,0.03,-0.03,-0.07,0.05,0.01,#DIV/0!,0.33,0.55,-0.01,0,-0.18,-0.03,0.14,0.05,0.16,0.02,,0.19
Herbs,H_Hypericu,Drought,78.76518446,-54.28315215,1.594750959,-13.70980177,149,0.51,0.67,0.56,11.48,-0.55,-0.18,0.18,-0.19,-0.21,0.21,0.01,0,0.01,-0.14,-0.91,-0.14,0.04,-0.01,-0.01,0.09,0.02,#DIV/0!,0.31,0.43,0.04,0,0,0,-0.11,-0.03,-0.06,0,,0.18
Herbs,H_Hypericu,Drought,78.76518446,-54.28315215,1.594750959,-13.70980177,150,0.49,-0.3,0.29,29.79,-0.14,-0.07,0.18,-0.33,-0.19,0.17,-0.05,-0.09,0.02,-0.13,-0.82,-0.18,0.07,-0.04,-0.14,0.07,0,#DIV/0!,0.29,0.32,0.09,0.01,0.14,0.03,-0.37,-0.11,-0.27,-0.02,,0.17
Herbs,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,76,-0.32,-0.34,-0.32,34.15,-0.24,-0.09,0.17,-0.34,-0.03,0.05,0.01,0.04,-0.01,-0.2,-0.78,0.07,-0.04,0,0.04,-0.01,0.05,#DIV/0!,0.29,0.36,0.13,0.01,-0.13,-0.02,-0.18,-0.04,-0.07,-0.01,,0.16
Herbs,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,77,-0.38,-0.38,-0.38,68.15,0.11,-0.32,0.06,-0.39,0.25,-0.24,0.21,-0.02,-0.01,-0.3,-0.68,0.82,-0.18,0,-0.02,0.05,0.06,#DIV/0!,0.21,0.48,0.05,0,-0.25,-0.04,0.12,0.05,0.15,0.03,,0.12
Herbs,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,78,0.23,-0.07,0.18,27.88,-0.33,-0.33,-0.05,0.1,-0.06,-0.18,0.01,-0.02,-0.03,-0.02,-0.01,-0.1,0.05,-0.01,-0.02,0.08,-0.2,#DIV/0!,-0.18,0.14,0,0,-0.09,-0.01,0.04,0.02,0.02,0,,-0.08
Herbs,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,79,0.31,0.02,0.25,38.9,-0.17,-0.24,0.05,0.07,-0.17,0.07,0.19,-0.01,0,-0.11,-0.78,-0.03,-0.14,0.01,0,0.06,-0.06,#DIV/0!,0.22,0.42,0.05,0,-0.3,-0.05,0.17,0.06,0.2,0.03,,0.12
Herbs,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,80,-0.47,0.37,-0.26,26.09,-0.36,-0.11,0.04,0.1,0.05,-0.11,-0.32,0.19,-0.02,-0.03,-0.18,-0.03,0.29,0.04,0.23,-0.01,-0.02,#DIV/0!,0.1,0.2,0.17,0.01,-0.27,-0.04,-0.11,-0.02,0.04,0.01,,0.06
Herbs,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,66,-0.07,-0.21,-0.1,20.35,-0.21,0.15,0.03,-0.17,-0.14,0.09,-0.05,0.04,-0.01,-0.1,-0.67,0.15,0.14,-0.02,0.02,0.1,-0.01,#DIV/0!,0.35,0.21,-0.04,0,-0.14,-0.02,0.03,0.03,0.07,0.01,,0.19
Herbs,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,67,-0.18,-0.63,-0.39,48.52,0.22,-0.32,0.11,-0.14,-0.11,0.07,0.12,-0.05,-0.02,-0.12,-0.19,-0.22,-0.04,-0.02,-0.07,0.09,0,#DIV/0!,-0.28,0.04,0,0,-0.2,-0.03,0.01,0.03,0.1,0.01,,-0.13
Herbs,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,68,0.19,0.69,0.38,42.81,0.16,-0.29,0.07,-0.15,-0.12,0.1,0.05,-0.03,-0.03,-0.2,-0.28,0.12,-0.07,-0.01,-0.04,-0.01,0.02,#DIV/0!,-0.56,-0.31,0.23,0.02,-0.04,0,-0.55,-0.13,-0.3,-0.02,,-0.3
Herbs,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,69,-0.47,-0.81,-0.56,21.97,-0.17,-0.27,0.07,-0.15,-0.14,0.08,-0.1,-0.03,0.01,0.05,-0.28,-0.05,0.11,-0.04,-0.07,0.02,-0.02,#DIV/0!,0.09,0.35,0.01,0,-0.1,-0.01,-0.11,-0.01,-0.01,0,,0.06
Herbs,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,70,-0.38,0.23,-0.25,17.98,-0.27,0.16,0.08,-0.23,0.01,-0.07,-0.1,-0.03,0.01,-0.05,-0.04,0.35,-0.11,0.02,-0.01,-0.21,-0.02,1,0.26,0.09,-0.04,0,-0.16,-0.02,0.05,0.04,0.09,0.01,,0.14
Herbs,H_Ranunculus,Drought,35.58897393,-6.977592145,-27.61805502,-198.3916142,247,-0.02,-0.59,-0.14,,,-0.22,0.02,-0.08,-0.1,0.06,0.01,0.08,0,0.04,0.51,,-0.24,-0.1,-0.01,0.01,0.01,#DIV/0!,-0.06,0.17,-0.01,0,-0.08,-0.01,0.01,0.01,0.03,0.01,0.04,-0.01
Herbs,H_Ranunculus,Drought,35.58897393,-6.977592145,-27.61805502,-198.3916142,248,-0.63,-0.3,-0.56,34.53,0.16,-0.23,0.01,-0.05,-0.07,0.01,-0.22,0,-0.01,-0.14,0.29,,-0.13,-0.06,-0.06,-0.11,0.01,#DIV/0!,-0.09,0.15,0,0,0,0,-0.08,-0.02,-0.05,0,0.14,-0.03
Herbs,H_Ranunculus,Drought,35.58897393,-6.977592145,-27.61805502,-198.3916142,249,-0.78,-0.16,-0.73,28.16,0.06,0.06,0,-0.03,-0.07,0.02,-0.15,-0.05,0.02,-0.15,0.06,0.35,-0.08,0.02,-0.03,0.01,0.01,#DIV/0!,-0.2,-0.24,0.21,0.02,0.3,0.06,-0.67,-0.21,-0.52,-0.05,,-0.09
Herbs,H_Ranunculus,Drought,35.58897393,-6.977592145,-27.61805502,-198.3916142,250,0.29,0.18,0.28,24.66,-0.01,-0.19,0.09,-0.15,-0.14,0.06,-0.13,0.04,0,-0.18,0.37,0.08,-0.08,-0.05,-0.01,0.03,-0.03,#DIV/0!,-0.2,0.01,-0.01,0,0.06,0.01,-0.11,-0.02,-0.1,-0.01,0.08,-0.09
Herbs,H_Rumex,Drought,86.23100945,33.32994963,-125.2543372,36.23495488,216,-0.29,-0.19,-0.26,24.72,-0.33,-0.37,-0.04,0.03,0,0.03,0.12,-0.01,-0.01,-0.15,-0.07,-0.15,0.11,0,-0.01,0.22,0.03,#DIV/0!,-0.42,-0.1,0.46,0.07,-0.24,-0.03,-0.81,-0.08,-0.36,0,-1,-0.21
Herbs,H_Rumex,Drought,86.23100945,33.32994963,-125.2543372,36.23495488,217,0.3,-0.53,0.12,42.5,-0.07,-0.48,-0.13,0.26,0.2,-0.21,0.03,0.02,0,-0.22,-0.04,0.08,0.17,0.07,0.09,0.21,0,#DIV/0!,-0.38,0.08,0.21,0.03,-0.27,-0.03,-0.48,-0.05,-0.12,0,,-0.19
Herbs,H_Rumex,Drought,86.23100945,33.32994963,-125.2543372,36.23495488,218,-0.6,-0.51,-0.58,14.21,-0.55,-0.54,-0.05,-0.07,-0.25,0.23,0.21,0,0,-0.06,-0.95,-0.15,0,0.01,0.01,0.21,-0.01,#DIV/0!,-0.26,0.3,0.13,0.01,-0.07,-0.01,-0.5,-0.05,-0.23,0,,-0.12
Herbs,H_Rumex,Drought,86.23100945,33.32994963,-125.2543372,36.23495488,219,-0.48,-0.39,-0.46,27.47,-0.28,-0.22,-0.09,-0.01,0.14,-0.16,-0.12,-1.05,-0.06,-0.06,0.13,0.26,0.32,-0.7,-1.01,0.21,-0.02,#DIV/0!,-0.19,0,0.41,0.06,-0.4,-0.06,-0.68,-0.07,-0.23,0,,-0.09
Herbs,H_Rumex,Drought,86.23100945,33.32994963,-125.2543372,36.23495488,220,-0.11,-0.58,-0.23,36.42,-0.15,-0.04,-0.2,0.29,0.1,-0.11,0.06,0.01,-0.04,-0.13,0.26,0.16,0.14,0.35,0.36,0.2,-0.01,#DIV/0!,-0.12,-0.12,0.44,0.07,-0.19,-0.02,-0.81,-0.08,-0.36,0,,-0.05
Herbs,H_Silene,Drought,83.21905571,28.48247445,-95.77317819,23.43552895,186,-0.19,0.02,-0.14,28.3,-0.2,-0.15,0.12,-0.12,0.01,0.02,0.05,0.05,-0.01,-0.15,-0.57,0.21,-0.13,0.03,0.08,-0.06,0.04,-0.427083333,0.09,0.21,-0.18,-0.02,0.09,0.01,0.23,0.05,0.07,0,-1,0.05
Herbs,H_Silene,Drought,83.21905571,28.48247445,-95.77317819,23.43552895,187,-0.65,-0.5,-0.62,30.26,-0.17,-0.4,-0.01,-0.12,-0.26,0.26,-0.02,0,-0.01,-0.16,-0.57,-0.09,-0.05,0.11,0.1,-0.05,0.01,-1,0.25,0.58,-0.15,-0.01,0.13,0.02,0.13,0.03,0.01,0,,0.13
Herbs,H_Silene,Drought,83.21905571,28.48247445,-95.77317819,23.43552895,189,0.61,0.27,0.51,19.77,-0.37,-0.08,0.15,-0.09,-0.11,0.13,0.02,-0.01,-0.02,0.11,-0.82,-0.09,-0.06,0.39,0.37,-0.02,0.03,-0.262672811,-0.06,0,-0.01,0,0.06,0.01,-0.1,-0.02,-0.06,0,,-0.02
Herbs,H_Silene,Drought,83.21905571,28.48247445,-95.77317819,23.43552895,190,0.4,0.51,0.43,24.63,-0.27,-0.19,0.19,-0.23,-1,,0.11,,,,,,-0.1,,,0.04,,-0.548022599,0.04,0.2,-0.23,-0.02,-0.04,-0.01,0.43,0.11,0.24,0.01,,0.02
Legumes,L_Medicago,Drought,90.26939066,-123.5791944,32.72850713,26.16333798,226,-0.24,-0.03,-0.2,32.56,0.07,-0.21,-0.03,0.03,-0.03,0.01,0,0,0.02,0.04,-0.36,0.13,-0.01,-0.03,-0.02,0,-0.01,#DIV/0!,-0.03,0.16,0.12,0.01,0.16,0.03,-0.41,-0.12,-0.29,-0.03,,-0.01
Legumes,L_Medicago,Drought,90.26939066,-123.5791944,32.72850713,26.16333798,227,-0.52,-0.58,-0.54,,,-0.5,0.08,-0.17,0.02,0,-0.06,0.01,0.01,-0.14,-0.49,-0.33,-0.02,-0.02,0,-0.06,0.02,#DIV/0!,-0.26,0.25,0.02,0,-0.22,-0.04,0.17,0.05,0.2,0.03,0.66,-0.13
Legumes,L_Medicago,Drought,90.26939066,-123.5791944,32.72850713,26.16333798,228,-0.12,0.01,-0.07,63.31,0.38,-0.24,0.05,-0.11,0.03,0.04,-0.09,0.05,-0.08,-0.04,-0.12,0.26,-0.03,-0.04,0.02,-0.1,0.08,#DIV/0!,0.03,0.25,0.07,0.01,-0.08,-0.01,-0.1,-0.03,-0.01,0,0.49,0.02
Legumes,L_Medicago,Drought,90.26939066,-123.5791944,32.72850713,26.16333798,229,-0.26,0.08,-0.21,52.88,0.31,-0.39,0.15,-0.21,-0.04,0.05,-0.17,,-0.01,-0.12,-0.75,-0.18,0.18,,,0.02,0,#DIV/0!,-0.48,-0.15,0.05,0.01,0.03,0.01,-0.17,-0.05,-0.09,-0.01,,-0.25
Legumes,L_Medicago,Drought,90.26939066,-123.5791944,32.72850713,26.16333798,230,0.67,-0.29,0.42,29.36,0.02,-0.08,0.17,-0.12,-0.02,0.03,-0.1,0.01,-0.01,-0.09,-0.35,0,0.08,-0.01,0.01,-0.01,0.01,#DIV/0!,0.11,0.16,0.05,0,-0.07,-0.01,-0.06,-0.02,0,0,,0.06
Legumes,L_Trifoliu,Drought,90.30458049,-123.7594526,32.79987797,26.24118725,196,0.85,0.66,0.84,26.53,-0.27,-0.41,,,0,0.04,-0.04,-0.07,-0.02,0.03,-0.46,-0.33,0.06,-0.12,-0.18,0.03,0.06,-1,0.1,0.45,-0.09,-0.01,0.05,0.01,0.1,0.03,0.03,0,0.68,0.05
Legumes,L_Trifoliu,Drought,90.30458049,-123.7594526,32.79987797,26.24118725,197,-0.58,-0.4,-0.56,53.35,0.07,-0.39,,,-0.1,0.07,0.03,-0.11,-0.02,0.18,-0.87,-0.04,0.08,-0.14,-0.24,0.11,-0.03,-1,-0.61,-0.31,-0.07,-0.01,0.12,0.02,-0.02,0,-0.07,-0.01,0.81,-0.34
Legumes,L_Trifoliu,Drought,90.30458049,-123.7594526,32.79987797,26.24118725,198,0.14,0.27,0.18,23.12,-0.33,-0.32,,,-0.06,0.1,-0.05,-0.09,-0.01,-0.1,-0.89,-0.26,0.1,-0.07,-0.15,0.06,0.05,0.666666667,-0.16,0.12,-0.22,-0.02,-0.09,-0.02,0.48,0.16,0.3,0.04,,-0.07
Legumes,L_Trifoliu,Drought,90.30458049,-123.7594526,32.79987797,26.24118725,199,0.13,0.51,0.16,75.15,0.24,-0.47,,,0.01,0.09,-0.1,-0.06,-0.03,-0.11,-0.87,0,0.05,-0.13,-0.17,-0.05,0.11,-1,-0.35,0.12,-0.15,-0.01,-0.13,-0.02,0.39,0.13,0.26,0.03,,-0.17
Legumes,L_Trifoliu,Drought,90.30458049,-123.7594526,32.79987797,26.24118725,200,-0.07,0.29,0.06,13.13,-0.56,-0.28,,,-1,,-0.04,-0.06,-0.01,0.04,-0.89,-0.09,0.11,0.15,0.11,0.07,,-1,-0.35,-0.15,-0.2,-0.01,0.09,0.02,0.27,0.08,0.09,0.01,0.9,-0.18
Legumes,L_Vicia,Drought,90.30458006,-123.7594517,32.79987761,26.2411868,136,-0.59,-1,-0.66,66.88,0.32,-0.23,0.1,-0.1,-0.12,0.05,0.07,0,-0.02,-0.12,-0.51,0.04,-0.06,-0.12,-0.11,0.03,-0.06,#DIV/0!,-0.02,0.25,0.01,0,0.11,0.02,-0.32,-0.06,-0.18,-0.01,,0.02
Legumes,L_Vicia,Drought,90.30458006,-123.7594517,32.79987761,26.2411868,137,-0.15,-0.53,-0.28,15.73,-0.37,-0.21,0.07,0.02,-0.17,0.03,0.18,0,-0.01,-0.11,-0.79,0.21,-0.18,-0.07,-0.07,0.02,-0.13,#DIV/0!,-0.42,-0.18,-0.01,0,0.13,0.02,-0.32,-0.06,-0.2,-0.01,,-0.19
Legumes,L_Vicia,Drought,90.30458006,-123.7594517,32.79987761,26.2411868,138,0.21,0.31,0.24,27.93,-0.1,-0.32,-0.04,-0.15,-0.1,0.08,0.02,0.05,0,-0.1,-0.39,0.21,0.02,-0.14,-0.08,0.05,-0.01,#DIV/0!,-0.32,0.04,-0.02,0,0.18,0.03,-0.34,-0.06,-0.23,-0.02,,-0.13
Legumes,L_Vicia,Drought,90.30458006,-123.7594517,32.79987761,26.2411868,139,-0.16,-0.2,-0.17,17.02,-0.34,-0.11,0.1,-0.01,-0.08,0.06,0.02,0.02,-0.02,-0.03,-0.79,0.13,0,-0.06,-0.03,0.03,-0.01,#DIV/0!,0.01,0.16,0.03,0.01,0.09,0.02,-0.35,-0.06,-0.18,-0.01,,0.04
Legumes,L_Vicia,Drought,90.30458006,-123.7594517,32.79987761,26.2411868,140,0.68,0.13,0.56,41.44,0.09,-0.42,0.06,-0.14,0.05,-0.01,0.21,0.04,-0.02,-0.05,-0.39,0.27,-0.26,-0.11,-0.07,-0.04,0.04,#DIV/0!,-0.6,-0.2,-0.13,-0.01,0.11,0.02,-0.07,0,-0.06,0,,-0.3
