Units,PlantGroup,Specie,Tto,Sp,ST,Pot,PotN,pH,rootN,rootC,leafN,leafC,SoilN(g/Kg),SoilC(g/kg),WSA_001,Asin_sqrt_WSA001,sqrt_WSA,%WSA,log_shootmass,shootmass,LDMC,SLA,sqrt_root,rootmass,sqrt_R:S,log_R:S+3,sqrt_diameter,diameter,%fineRoots_RootSamp,RootVolume(cm3)_RootSamp,logRTD,RTD,SRL,logSRL3,sqrt_SRSA,SRSA,logSRSA+3,RDUO %WSA,RE 0 sqrt_TotRootB,RE 0 Leaves_C(g/kg),RE 0 Leaves_N(g/kg),RE 0 Roots_N(g/Kg),RE 0 Roots_C(g/Kg),CP1_Root_Traits,CP2_RootTraits,CP1_ROOT52,CP2
shoot mass (mg),Grasses,G_Anthoxanthum,Control,Anthoxanthum,Anthoxanthum_Control,1m,1,6.56,4.49,286.24,8.56,412.83,0.62,7.29,0.4,0.69,6.33,40.06,8.47,4783.1,219.95,265.93,64.88,4209.46,0.94,1.36,0.32,0.1,99.78,0.22,5.66,285.85,40.13,3.76,1.15,1.33,1.47,-2.44,-0.01,0.44,-0.78,-0.58,-0.85,3.06,-0.35,3.18,-0.63
diameter (mm),Grasses,G_Anthoxanthum,Control,Anthoxanthum,Anthoxanthum_Control,2m,2,6.7,3.91,303.22,7.37,409.82,0.66,7.08,0.76,1.06,8.72,76,8.43,4591.9,257.89,257.23,61.74,3812.18,0.91,1.34,0.35,0.13,99.81,0.33,5.54,253.85,32.22,3.56,1.12,1.26,1.45,4.91,-0.17,0.05,-0.86,-0.57,-0.73,2.78,-0.23,2.92,-0.52
SRSA(cm2/mg),Grasses,G_Anthoxanthum,Control,Anthoxanthum,Anthoxanthum_Control,3m,3,6.8,3.64,423.63,8.32,427.83,0.64,7.1,0.41,0.7,6.44,41.49,8.41,4501.7,241.55,433.8,85.44,7300.8,1.27,1.53,0.34,0.12,99.82,0.35,5.54,255.78,35.82,3.66,1.15,1.33,1.46,-2.24,1.05,1.33,-0.49,-0.78,0.22,3.15,-0.39,3.25,0.54
Roots_N(g/Kg),Grasses,G_Anthoxanthum,Control,Anthoxanthum,Anthoxanthum_Control,4m,4,6.68,9.53,600.67,11.98,397.09,0.73,8.04,0.62,0.9,7.86,61.76,8.37,4294.8,220.39,298.92,44.01,1936.567,0.67,1.24,0.37,0.14,99.87,0.22,5.49,242.2,27.42,3.42,1.09,1.19,1.43,1.98,-1.08,-0.51,0.88,1.62,1.62,1.91,2.02,1.77,3.53
Leaf_N(g/kg),Grasses,G_Anthoxanthum,Control,Anthoxanthum,Anthoxanthum_Control,5m,5,6.7,6.09,363.7,11.47,388.43,0.67,7.2,0.48,0.76,6.92,47.88,8.36,4285.4,232.83,271.66,58.8,3457.88,0.9,1.34,0.34,0.12,99.81,0.31,5.7,297.42,31.97,3.55,1.08,1.16,1.43,-0.83,-0.32,-1.3,1.26,0.31,-0.25,2.43,0.33,2.49,0.33
LDMC_(mg_g-1),Grasses,G_Anthoxanthum,Drought,Anthoxanthum,Anthoxanthum_Drought,6m,6,6.86,4.72,367.24,5.04,422.26,0.68,7.89,0.22,0.49,4.67,21.81,8.58,5299.2,254.66,207.45,52.58,2765,0.72,1.26,0.46,0.21,99.68,1.76,4.7,109.89,25.21,3.34,1.3,1.7,1.55,-3.4,-0.52,0.79,1.13,-0.61,-0.09,2.93,-0.18,3.03,0.34
SLA_(cm2_g-1),Grasses,G_Anthoxanthum,Drought,Anthoxanthum,Anthoxanthum_Drought,7m,7,6.76,4.04,438.71,4.62,357.71,0.7,7.3,0.78,1.09,8.86,78.47,8.22,3711.1,303.07,167.65,78.32,6133.887,1.29,1.54,0.44,0.2,99.82,0.74,4.84,126.69,26.55,3.39,1.27,1.62,1.53,8.19,0.66,-0.32,0.03,-0.74,1.14,3.2,-0.45,3.3,0.72
Leaves_C(g/kg),Grasses,G_Anthoxanthum,Drought,Anthoxanthum,Anthoxanthum_Drought,8m,8,6.8,4.24,280.94,3.69,283.06,0.65,7.27,0.33,0.61,5.71,32.65,8.34,4181.6,316.64,209.89,58.98,3478.067,0.91,1.34,0.4,0.16,99.88,0.37,5.3,199.45,24.68,3.32,1.12,1.25,1.45,-1.01,-0.23,-1.61,-1.5,-0.73,-1.54,2.6,-0.42,2.72,-0.89
,Grasses,G_Anthoxanthum,Drought,Anthoxanthum,Anthoxanthum_Drought,9m,9,6.63,20.06,366.82,5,414.42,0.7,7.77,0.34,0.62,5.82,33.92,8.34,4175.6,328.33,200.74,30.75,945.48,0.47,1.17,0.36,0.13,99.8,0.18,5.54,253.98,31.14,3.53,1.11,1.24,1.45,-0.8,-1.53,0.7,-0.25,1.46,-0.07,2.31,0.88,1.64,1.43
_,Grasses,G_Anthoxanthum,Drought,Anthoxanthum,Anthoxanthum_Drought,10m,10,6.8,13.8,405.02,5.01,401.24,0.69,8.13,0.21,0.47,4.56,20.81,8.37,4325.1,285.71,193.02,62.3,3881.78,0.95,1.36,0.35,0.12,99.86,0.26,5.52,250,33.06,3.59,1.14,1.29,1.46,-3.63,-0.08,0.44,0.58,0.63,0.56,2.7,0.39,2.42,1.09
,Herbs,H_Berteroa,Control,Berteroa,Berteroa_Control,11m,11,6.63,14.25,378.34,21.18,297.9,0.76,8.94,0.53,0.81,7.27,52.91,7.96,2863.7,138.2,284.52,27.4,750.667,0.51,1.18,0.54,0.29,99.7,0.13,5.83,342.06,4.52,2.02,0.64,0.41,1.23,2.65,-0.7,-0.33,-0.04,-0.67,-0.31,-0.92,0.67,-1.18,0.18
,Herbs,H_Berteroa,Control,Berteroa,Berteroa_Control,12m,12,6.98,18.32,361.25,10.22,202.29,0.65,7.57,0.28,0.56,5.29,28.02,8.65,5692.7,173.99,254.04,34.53,1192.287,0.46,1.17,0.51,0.26,99.53,0.19,6.14,464.21,3.92,1.93,0.57,0.33,1.2,-2.48,-0.33,-1.53,-1.42,0.79,-1.19,-1.36,0.57,-1.67,-0.04
,Herbs,H_Berteroa,Control,Berteroa,Berteroa_Control,13m,13,6.67,16.255,385.2,17.59,335.96,0.62,7.35,0.36,0.64,5.99,35.93,8.23,3757,169.49,203.13,26.85,721,0.44,1.16,0.5,0.25,99.35,0.2,6.03,415.69,5.02,2.08,0.62,0.39,1.22,-0.8,-0.73,0.11,-0.44,,,,,,
,Herbs,H_Berteroa,Control,Berteroa,Berteroa_Control,14m,14,6.64,13.41,407.88,28.92,394.99,0.61,7.1,0.26,0.54,5.1,26.01,7.99,2947.6,151.25,269.22,27.97,782.567,0.52,1.18,0.4,0.16,99.19,0.17,5.72,304.07,16.49,2.97,0.91,0.83,1.34,-2.92,-0.67,0.87,0.95,-1.04,1.13,0.85,0.8,0.64,1.3
,Herbs,H_Berteroa,Control,Berteroa,Berteroa_Control,15m,15,6.55,19.04,393.36,27.79,399.2,0.67,8.64,0.44,0.72,6.61,43.64,7.83,2524.6,150.43,256.23,27.5,756.28,0.55,1.19,0.73,0.53,100,0.25,5.91,367.73,1.22,1.44,0.45,0.2,1.16,0.84,-0.7,0.88,0.95,0.92,0.37,-2.54,0.34,-2.99,-0.27
,Herbs,H_Berteroa,Drought,Berteroa,Berteroa_Drought,16m,16,6.78,3.79,233.95,25.59,379.37,1.53,16.18,0.56,0.84,7.46,55.66,7.94,2820.1,139.3,317.05,30.79,947.767,0.58,1.2,0.45,0.2,99.4,0.15,5.81,334.87,9.58,2.53,0.77,0.6,1.28,5.79,-0.85,0.79,0.76,-1.17,-1.76,0.28,-0.21,0.5,-1.56
,Herbs,H_Berteroa,Drought,Berteroa,Berteroa_Drought,17m,17,7.03,20.16,424.64,24.85,328.9,1.34,15.38,0.3,0.58,5.45,29.73,7.79,2419.6,174.9,228.68,23.49,551.68,0.48,1.17,0.49,0.24,99.77,0.07,5.87,354.17,6.24,2.22,0.69,0.47,1.24,0.38,-1.29,-0.48,0.56,1.03,0.36,-0.61,1.19,-1.19,1.25
,Herbs,H_Berteroa,Drought,Berteroa,Berteroa_Drought,18m,18,6.64,16.09,457.39,24.31,384.26,0.68,7.29,0.27,0.54,5.18,26.86,7.65,2107.7,126.91,289.47,25.33,641.367,0.55,1.2,0.47,0.22,99.68,0.16,5.57,261.39,10.27,2.59,0.84,0.7,1.31,-0.28,-1.18,0.96,0.43,0.45,0.72,0.31,1.22,-0.12,1.74
,Herbs,H_Berteroa,Drought,Berteroa,Berteroa_Drought,19m,19,6.78,17.81,428.17,12.46,288.26,0.5,6.32,0.2,0.46,4.44,19.67,7.94,2794.9,195.18,184.53,29.09,846.473,0.55,1.19,0.49,0.24,99.41,0.13,6.25,518.66,4.14,1.97,0.56,0.32,1.2,-1.9,-0.95,-1.48,-1.71,0.66,0.4,-1.6,1.11,-1.9,0.9
,Herbs,H_Berteroa,Drought,Berteroa,Berteroa_Drought,20m,20,6.67,5.43,418,21.44,355.5,1.26,14.04,0.2,0.47,4.52,20.39,8.14,3436.8,209.68,158.97,25.73,662.267,0.44,1.16,0.48,0.23,99.79,0.14,5.98,397.2,6.03,2.2,0.66,0.44,1.23,-1.9,-1.16,0.2,-0.03,-0.97,0.28,-0.74,1.21,-0.67,0.56
,Herbs,H_Daucus,Control,Daucus,Daucus_Control,21m,21,7.16,5.43,440.9,14.64,380.73,0.73,7.52,0.52,0.8,7.18,51.6,7.51,1819.5,190.17,190.18,50.14,2513.573,1.18,1.48,0.39,0.15,99.44,0.22,5.84,343.12,16.18,2.95,0.88,0.77,1.33,2.03,0.47,-0.1,0.6,-0.42,0.18,0.87,0.79,1.09,0.96
,Herbs,H_Daucus,Control,Daucus,Daucus_Control,22m,22,6.7,4.95,380.21,8.36,307.74,0.51,6.57,0.77,1.08,8.8,77.37,8.62,5565.8,171.8,215.68,40.6,1648.287,0.54,1.19,0.38,0.15,99.62,0.26,5.42,225.95,26.19,3.37,1.1,1.21,1.44,7.15,-0.02,-1.7,-1.4,0.19,-1.46,2.16,0.57,2.25,0.73
,Herbs,H_Daucus,Control,Daucus,Daucus_Control,23m,23,6.95,4.9,462.01,14.27,417.77,1.4,19.48,0.37,0.66,6.11,37.35,8.15,3450.6,153.88,218.72,52.61,2767.473,0.9,1.34,0.4,0.16,99.42,0.4,5.72,306.22,16.52,2.97,0.91,0.82,1.34,-1,0.6,0.65,0.74,-0.96,0.71,1.03,0.76,1.27,1.16
,Herbs,H_Daucus,Control,Daucus,Daucus_Control,24m,24,6.77,6.13,455.2,11.8,416.39,,,0.47,0.75,6.83,46.61,8.31,4076.9,179.98,189.86,63.03,3972.467,0.99,1.38,0.41,0.17,99.73,0.12,5.53,251.64,17.53,3.02,0.97,0.93,1.37,1.03,1.14,0.69,-0.72,1.18,0.57,1.54,0.48,1.66,0.97
,Herbs,H_Daucus,Control,Daucus,Daucus_Control,25m,25,6.71,5.3525,434.58,14.58,408.36,0.7,8.3,0.26,0.54,5.13,26.3,8.29,4003.5,187.23,219.34,61.94,3837.1,0.98,1.38,0.45,0.2,98.58,0.79,6.72,827.7,2.24,1.66,0.43,0.18,1.16,-3.31,1.08,0.46,0.78,,,,,,
,Herbs,H_Daucus,Drought,Daucus,Daucus_Drought,26m,26,6.7,5.45,498.24,10.21,396.01,1.21,14.18,0.17,0.43,4.17,17.38,7.05,1149.8,198.7,173.94,58.33,3402.88,1.72,1.78,0.41,0.17,99.71,0.2,5.61,274.51,16.61,2.98,0.93,0.87,1.35,-2.99,0.82,0.47,0.06,-0.44,0.63,1.24,0.92,1.4,1.52
,Herbs,H_Daucus,Drought,Daucus,Daucus_Drought,27m,27,7.1,5.58,459.08,8.62,306.69,0.55,7.26,0.08,0.28,2.81,7.88,7.1,1217.7,174.64,213.95,56.98,3246.667,1.63,1.73,0.43,0.18,99.65,0.09,5.75,314.61,11.95,2.7,0.83,0.69,1.31,-5.39,0.73,-1.68,-1,-0.54,-0.05,0.63,0.71,0.82,0.86
,Herbs,H_Daucus,Drought,Daucus,Daucus_Drought,28m,28,6.57,5.89,499.25,10.49,371.03,0.58,6.98,0.19,0.45,4.36,19.05,7.92,2741.7,210.17,160.13,57.23,3274.873,1.09,1.43,0.45,0.2,99.58,0.14,5.79,328.15,9.79,2.55,0.78,0.61,1.28,-2.5,0.75,-0.1,-0.13,-0.38,0.66,0.22,0.88,0.44,1.23
,Herbs,H_Daucus,Drought,Daucus,Daucus_Drought,29m,29,6.86,6.05,488.32,10.04,394.41,0.51,6.54,0.28,0.56,5.28,27.91,7.46,1728.5,213.99,174.59,58.08,3373.08,1.4,1.6,0.46,0.21,99.88,0.16,5.63,277.44,10.14,2.58,0.82,0.68,1.3,-0.43,0.8,0.49,-0.56,-0.43,0.48,0.53,0.87,0.66,1.1
,Herbs,H_Daucus,Drought,Daucus,Daucus_Drought,30m,30,6.97,8.22,363.73,13.55,409.96,0.6,7.67,0.49,0.77,6.96,48.5,7.42,1662.3,196.02,165.09,60.2,3624.473,1.48,1.64,0.46,0.21,99.88,0.2,5.56,259.7,11.18,2.65,0.86,0.73,1.32,3.98,0.93,0.83,1.63,1.78,-1.71,0.96,0.04,0.98,-0.31
,Grasses,G_F.brevipila,Control,F.brevipila,F.brevipila_Control,31m,31,6.87,5.75,432.07,10.55,447.57,0.6,7.12,0.88,1.21,9.37,87.77,8.66,5772.3,290.85,227.6,57.13,3264.3,0.75,1.27,0.58,0.34,98.94,2.29,4.83,125.77,8.81,2.47,0.97,0.94,1.37,9.09,-0.41,0.35,-0.4,-1.43,0.65,0.65,-0.63,0.99,0.23
,Grasses,G_F.brevipila,Control,F.brevipila,F.brevipila_Control,32m,32,6.92,7.31,381.37,9.49,438.45,,,,,,,8.4,4433,323.05,146.34,62.66,3926.7,0.94,1.36,0.49,0.24,99.53,0.84,5.43,228.38,9.7,2.54,0.85,0.73,1.32,,-0.12,-0.82,-0.4,0.89,-0.77,0.77,-0.29,0.92,-0.28
,Grasses,G_F.brevipila,Control,F.brevipila,F.brevipila_Control,33m,33,6.93,7.03,375.15,17.45,458.4,0.69,8.85,0.22,0.48,4.64,21.56,8.49,4873.3,273.81,111,53.81,2895.4,0.77,1.28,0.46,0.21,99.4,1.23,6.16,471.96,6.13,2.21,0.64,0.4,1.22,-4.73,-0.58,1.24,1.49,0.39,-0.93,-0.71,0.29,-0.45,-0.42
,Grasses,G_F.brevipila,Control,F.brevipila,F.brevipila_Control,35m,35,6.96,6.93,447.51,8.87,437.45,0.57,7.01,0.54,0.82,7.33,53.75,8.56,5220.5,256.16,269.15,50.15,2514.7,0.69,1.25,0.47,0.22,99.57,1.17,5.05,155.66,16.27,2.96,1.07,1.15,1.42,1.87,-0.77,-0.78,-0.69,0.15,1.05,1.66,0.4,1.73,1.1
,Grasses,G_F.brevipila,Drought,F.brevipila,F.brevipila_Drought,36m,36,6.76,6.69,373.83,9.72,448.12,0.59,7.9,0.27,0.55,5.24,27.42,8.35,4238.1,397.41,122.05,52.46,2752.3,0.81,1.29,0.48,0.23,99.54,0.81,5.2,181.47,12.8,2.76,0.97,0.94,1.37,-0.89,-0.53,0.18,-0.49,-0.61,-0.43,1.27,-0.1,1.39,-0.02
,Grasses,G_F.brevipila,Drought,F.brevipila,F.brevipila_Drought,37m,37,6.9,7.01,354.41,8.34,445.73,0.61,6.96,0.32,0.6,5.63,31.74,8.22,3706.4,369.68,73.47,41.29,1704.573,0.68,1.24,0.47,0.22,99.54,0.56,5.07,158.69,16.03,2.95,1.06,1.13,1.42,0.2,-1.04,0.01,-0.72,-0.58,-0.88,1.67,0.04,1.7,0.13
,Grasses,G_F.brevipila,Drought,F.brevipila,F.brevipila_Drought,38m,38,6.45,11.88,360.35,14.23,432.84,0.65,7.43,0.23,0.5,4.8,23.06,7.77,2379.3,337.78,154.39,24.31,590.967,0.5,1.18,0.44,0.19,99.59,0.34,5.26,191.79,17.66,3.03,1.04,1.08,1.41,-1.79,-1.82,-1.55,0.02,1.5,-0.73,1.56,0.54,1.26,0.79
,Grasses,G_F.brevipila,Drought,F.brevipila,F.brevipila_Drought,39m,39,6.39,6.7,451.6,27.39,453.7,0.59,6.66,0.28,0.56,5.27,27.81,7.43,1685.4,296.65,196.65,16.23,263.48,0.4,1.15,0.46,0.21,99.55,0.06,5.13,169.09,17.29,3.01,1.06,1.13,1.42,-0.67,-2.19,1.21,1.72,-0.86,1.48,1.44,1.05,1.29,1.84
,Grasses,G_F.brevipila,Drought,F.brevipila,F.brevipila_Drought,40m,40,6.36,9.54,414.35,9.79,446.84,0.7,8.05,0.15,0.4,3.88,15.02,8.23,3757.9,341.18,150.22,55.15,3041.28,0.9,1.34,0.48,0.23,99.48,0.62,5.31,201.92,12.27,2.73,0.93,0.87,1.35,-3.71,-0.4,0.14,-0.53,0.54,0.56,1.07,0.09,1.11,0.5
,Herbs,H_Achillea,Control,Achillea,Achillea_Control,41m,41,6.5,11.28,409.31,11.1,360.77,0.61,7.5,0.49,0.77,6.99,48.84,7.74,2290,199.14,148.33,54.67,2989.18,1.14,1.46,0.48,0.23,99.67,0.26,5.74,310.23,7.94,2.39,0.75,0.57,1.27,-0.01,0.71,0.33,-0.9,0.3,-0.4,0.11,0.37,0.08,0.26
,Herbs,H_Achillea,Control,Achillea,Achillea_Control,42m,42,6.49,10.62,417.32,15.88,367.98,0.59,7.02,0.7,0.99,8.36,69.88,7.7,2209.5,196.32,134.72,16.66,277.7,0.35,1.14,0.58,0.34,99.94,0.28,6.14,462.72,2.38,1.68,0.5,0.26,1.18,4.24,-1.26,0.44,0.55,,,,,,
,Herbs,H_Achillea,Control,Achillea,Achillea_Control,43m,43,6.47,10.08,445.91,19.92,399.93,0.71,8.68,0.57,0.85,7.54,56.88,7.87,2624.1,154.88,147.05,25.42,646.1,0.5,1.18,0.46,0.21,99.67,0.19,6.14,465.46,6.3,2.23,0.64,0.41,1.23,1.59,-0.8,1.24,1.47,-0.11,1.41,-0.95,1.46,-1.04,1.12
,Herbs,H_Achillea,Control,Achillea,Achillea_Control,44m,44,6.29,13.21,413.76,12.24,314.5,0.64,6.9,0.47,0.76,6.89,47.43,7.64,2086.8,183,130.39,25.82,666.58,0.57,1.2,0.5,0.25,99.79,0.09,6.15,469.56,4.32,1.99,0.58,0.34,1.21,-0.41,-0.78,-0.76,-0.78,1.11,-0.13,-1.34,1.23,-1.56,0.63
,Herbs,H_Achillea,Control,Achillea,Achillea_Control,45m,45,6.51,7.93,400.32,12.84,297.29,0.69,7.82,0.43,0.71,6.53,42.64,7.87,2620.4,425.35,128.44,30.72,943.787,0.6,1.21,0.48,0.23,99.71,0.16,6.16,475.64,4.92,2.07,0.6,0.36,1.21,-1.22,-0.53,-1.25,-0.34,-1.29,-0.89,-1.17,1.08,-1.11,0.25
,Herbs,H_Achillea,Drought,Achillea,Achillea_Drought,46m,46,6.45,6.53,448.18,20.39,481.27,0.69,7.94,0.28,0.56,5.27,27.79,7.94,2805.9,244.09,116.9,44.9,2015.58,0.85,1.31,0.56,0.32,99.69,0.4,5.68,293.67,4.38,2,0.66,0.43,1.23,-1.78,0,1.32,1.4,-0.12,0.86,-0.82,0.61,-0.65,0.35
,Herbs,H_Achillea,Drought,Achillea,Achillea_Drought,47m,47,6.61,5.67,402.33,9.74,368.02,0.63,6.93,0.29,0.57,5.37,28.8,7.28,1453.7,219.68,106.69,45.76,2094.08,1.2,1.49,0.48,0.23,99.8,0.17,6.01,408.38,6.08,2.21,0.66,0.43,1.23,-1.56,0.05,-1.25,-1.4,-0.97,-0.94,-0.58,0.79,-0.39,0
,Herbs,H_Achillea,Drought,Achillea,Achillea_Drought,48m,48,6.43,6.56,404.49,15,449.98,0.66,8.05,0.52,0.81,7.24,52.47,7.72,2252.8,561.4,87.18,62.33,3885.2,1.31,1.55,0.54,0.29,99.8,0.4,5.63,279.4,5.33,2.12,0.7,0.49,1.25,3.18,1.06,0.64,-0.13,-0.39,-0.84,-0.22,-0.03,-0.04,-0.39
,Herbs,H_Achillea,Drought,Achillea,Achillea_Drought,49m,49,6.56,6.99,417.01,16.77,398.97,0.72,8.42,0.35,0.63,5.89,34.73,7.48,1765.1,198.3,145.57,44.1,1944.8,1.05,1.41,0.56,0.31,99.86,0.27,5.52,250.75,5.29,2.12,0.72,0.52,1.26,-0.29,-0.05,-0.5,0.23,-0.21,-0.33,-0.38,0.5,-0.29,0.1
,Herbs,H_Achillea,Drought,Achillea,Achillea_Drought,50m,50,6.32,9.09,457.47,14.9,413.45,0.68,7.83,0.23,0.5,4.77,22.73,7.81,2472.9,634.58,116.82,58.85,3463.38,1.18,1.48,0.55,0.3,99.83,0.49,5.77,320.37,4.31,1.99,0.64,0.41,1.23,-2.88,0.85,-0.21,-0.09,1.69,1.25,-0.72,0.44,-0.64,0.3
,Herbs,H_Potentilla,Control,Potentilla,Potentilla_Control,61m,61,6.5,10.29,329.73,15.56,465.14,0.71,8.35,0.28,0.55,5.27,27.73,8.1,3308.4,282.87,146.2,27.06,732.38,0.47,1.17,0.62,0.39,99.97,0.16,6.5,664.74,1.28,1.45,0.39,0.16,1.15,-1.81,-0.72,0.01,-0.4,-0.27,-1.69,-2.94,0.69,-2.96,-1.13
,Herbs,H_Potentilla,Control,Potentilla,Potentilla_Control,62m,62,6.97,12.2,478.53,11.38,357.95,0.63,7.36,0.48,0.77,6.94,48.1,7.93,2790.5,385.62,94.41,23.82,567.613,0.45,1.16,0.43,0.18,99.72,0.26,5.86,349.81,10.65,2.61,0.79,0.62,1.29,2.34,-0.89,-1.6,-0.91,1.06,0.64,0.04,1.62,-0.23,1.92
,Herbs,H_Potentilla,Control,Potentilla,Potentilla_Control,63m,63,6.71,11.92,489.56,18.74,477.86,0.69,8.32,0.25,0.52,5,25,8.86,7066.9,388.15,106.69,39.32,1545.98,0.47,1.17,0.51,0.26,99.91,0.12,6.65,772.88,2.36,1.68,0.44,0.2,1.16,-2.47,-0.09,0.17,0.23,0.81,0.82,-2.77,1.87,-2.76,0.98
,Herbs,H_Potentilla,Control,Potentilla,Potentilla_Control,64m,64,6.77,8.42,438.62,28.66,481.62,0.64,7.14,0.26,0.53,5.1,25.98,7.71,2221.3,301.67,122.47,22.98,528.267,0.49,1.17,0.47,0.23,99.78,0.04,6.75,857.14,2.95,1.78,0.46,0.21,1.17,-2.25,-0.93,0.27,1.63,-1.45,0.04,-2.84,1.96,-2.77,0.67
,Herbs,H_Potentilla,Control,Potentilla,Potentilla_Control,65m,65,6.96,10.22,449.45,14.07,545.16,0.65,7.56,0.28,0.56,5.31,28.24,8.16,3482.7,399.09,82.65,35.34,1248.88,0.6,1.21,0.54,0.3,99.71,0.15,6.55,697.3,2.09,1.63,0.44,0.19,1.16,-1.81,-0.29,1.16,-0.56,-0.15,0.19,-2.71,1.4,-2.63,0.43
,Herbs,H_Potentilla,Drought,Potentilla,Potentilla_Drought,66m,66,6.61,14.18,532.54,13.24,454.59,0.64,8.05,0.2,0.47,4.51,20.35,8.53,5055.5,374.16,78.67,43.6,1901,0.61,1.22,0.5,0.25,99.7,0.38,6.23,505.56,4.08,1.96,0.56,0.32,1.2,-1.29,-0.08,-0.43,-0.37,1.34,0.89,-1.57,1.62,-1.68,1.74
,Herbs,H_Potentilla,Drought,Potentilla,Potentilla_Drought,67m,67,6.53,9.75,521.08,14.13,467.57,0.64,6.79,0.49,0.77,6.97,48.52,7.56,1925.6,438,83.22,22.73,516.507,0.52,1.18,0.52,0.27,99.99,0.07,6.09,442.25,3.95,1.94,0.58,0.34,1.2,5.04,-1.34,0.49,-0.14,-0.46,0.78,-1.51,1.94,-1.66,1.8
